Timestamp,What is your Gender?,What is your age?,Name of the company you are currently working on (if you want to disclose),How many employees does your current company have?,What is your highest academic degree?,For how many years have you coded professionally?,What is your current role?,What are your expectations from your peers in the team?,categories,labels
2019/01/15 5:01:36 PM GMT+6,Male,37,Business Accelerate BD Ltd.,,,more than 10,"High level management ( CEO, CIO, CFO )",Commitment & Dedication,"Knack in Standard SE practice, Sincerity","sincere, responsible"
2019/01/15 9:33:40 PM GMT+6,Male,38,Craftsmen Ltd,,,more than 10,"Developer;High level management ( CEO, CIO, CFO )",Act as an Engineer. We are used to get guidance from the childhood and we love to get spoon fed by someone. ,Sincerity,hard working
2019/01/16 8:27:40 AM GMT+6,Male,35,,,,more than 10,"Developer;Business analyst;Project manager;High level management ( CEO, CIO, CFO )","They will stay for long term and perform up to expectations, learn from mistakes","Knack in Standard SE practice, Sincerity, Supportive attitude","responsible, trustworthy"
2019/01/16 8:28:26 PM GMT+6,Male,27,Ipay,,,2 to 5,Developer,Liability and Proactiveness,"Sincerity, Knack in Standard SE practice","proactive, responsible"
2019/01/17 10:11:36 AM GMT+6,Male,37,Infosapex,,,more than 10,Developer;Tester;Project manager,must provide training session for new tech ,"Knack in Standard SE practice, Sincerity",responsible
2019/01/17 2:49:50 PM GMT+6,Male,34,InfoSapex,,,5 to 10,Technical Project Manager,"I expect proper use of resource (time, materials etc.) and common sense. Its all that matters.","Knack in Standard SE practice, Sincerity",sincere
2019/01/25 10:43:40 PM GMT+6,Male,26,,,,2 to 5,Project manager,Should R&D more before starting any task. ,Sincerity,proactive
2019/01/26 4:59:22 AM GMT+6,Male,33,,,,5 to 10,Developer,cooperative,Supportive attitude,helpful
2019/01/28 7:52:12 PM GMT+6,Male,30,CPTU,,,2 to 5,Developer,Do task at a time,Sincerity,hard working
2019/01/29 10:40:57 PM GMT+6,Male,25,BJIT,,,less than 2,Developer,"be honest, learn something, teach something","Sincerity, Supportive attitude","hard working, trustworthy"
2019/03/12 1:41:33 PM GMT+6,Male,26,,,,2 to 5,"Developer;Project manager;High level management ( CEO, CIO, CFO )","Punctuality, Professionalism and common sense more often","Sincerity, Knack in Standard SE practice","proactive, responsible"
